timestamp,spill_number,action_id,action_name,reward,state
2025-05-26T16:21:30.252512,7480409,3,Index,2,"[0.2800000011920929, 13.0, 487.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:30.755366,7480434,3,Index,2,"[0.47999998927116394, 13.0, 370.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:31.258095,7480435,3,Index,2,"[0.23999999463558197, 5.0, 216.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:31.761123,7480412,3,Index,2,"[0.30000001192092896, 5.0, 229.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:32.263862,7480415,3,Index,2,"[0.17000000178813934, 5.0, 274.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:32.767078,7480504,3,Index,2,"[0.28999999165534973, 17.0, 483.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:33.270009,7480507,3,Index,2,"[0.46000000834465027, 17.0, 412.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:33.772638,7480508,3,Index,2,"[0.3100000023841858, 6.0, 423.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:34.275690,7480510,3,Index,2,"[0.10000000149011612, 10.0, 486.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:34.778211,7480511,3,Index,2,"[0.2800000011920929, 7.0, 336.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:35.281271,7480513,3,Index,2,"[0.10999999940395355, 8.0, 484.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:35.783883,7480516,3,Index,2,"[0.41999998688697815, 18.0, 498.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:36.286605,7480518,3,Index,2,"[0.23000000417232513, 12.0, 211.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
